loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
11325.0, 36 months,17.1,404.34,C,C5,Pumper,3 years,RENT,50000.0,Not Verified,Oct-2013,Fully Paid,debt_consolidation,Consolidation Loan,13.25,Feb-2004,11.0,0.0,3596.0,36.7,27.0,f,INDIVIDUAL,0.0,0.0,"69784 Christian Flat Apt. 045
Cruzton, MN 48052"
8000.0, 36 months,17.77,288.3,D,D1,Human Services City Of Virginia Beach,8 years,MORTGAGE,32000.0,Not Verified,Nov-2012,Fully Paid,credit_card,Smartborrowing2012,8.78,Nov-1998,9.0,0.0,8054.0,69.4,13.0,f,INDIVIDUAL,2.0,0.0,"81159 Charles Lights Suite 384
Ortizfort, OR 00813"
5000.0, 36 months,11.44,164.74,B,B4,,,MORTGAGE,25152.0,Source Verified,Jan-2015,Fully Paid,debt_consolidation,Debt consolidation,13.07,Mar-2001,9.0,0.0,6367.0,69.2,13.0,f,INDIVIDUAL,1.0,0.0,"86772 Bartlett Ramp
Jenniferfurt, MI 00813"
15000.0, 36 months,11.44,494.22,B,B4,Senior Project Manager,6 years,RENT,170000.0,Source Verified,Nov-2014,Charged Off,credit_card,Credit card refinancing,10.33,Jan-2002,6.0,3.0,13630.0,72.1,11.0,f,INDIVIDUAL,0.0,0.0,"792 Shannon Hollow Apt. 910
Harryview, NH 48052"
9700.0, 36 months,8.9,308.01,A,A5,Dell Inc.,< 1 year,RENT,89000.0,Not Verified,Jan-2013,Fully Paid,debt_consolidation,Personal Loan,26.49,Dec-1999,13.0,0.0,16087.0,56.6,24.0,f,INDIVIDUAL,0.0,0.0,"9321 Jessica Summit Apt. 008
Millerfurt, OH 30723"
25000.0, 36 months,13.65,850.2,C,C1,RN,5 years,RENT,84000.0,Verified,Apr-2014,Fully Paid,debt_consolidation,Debt consolidation,2.63,Dec-1999,4.0,0.0,11609.0,86.0,10.0,f,INDIVIDUAL,4.0,0.0,"859 Mullins Expressway Apt. 997
Owensstad, ND 48052"
21700.0, 60 months,13.18,495.75,C,C3,Financial Comptroller,5 years,RENT,50700.0,Verified,Nov-2015,Fully Paid,debt_consolidation,Debt consolidation,34.29,Sep-2010,8.0,0.0,19249.0,38.7,16.0,w,INDIVIDUAL,0.0,0.0,"PSC 0269, Box 7316
APO AP 00813"
13000.0, 60 months,12.99,295.73,C,C2,sales,10+ years,MORTGAGE,65000.0,Source Verified,Apr-2016,Fully Paid,debt_consolidation,Debt consolidation,17.15,Sep-2001,9.0,0.0,4606.0,53.6,21.0,w,INDIVIDUAL,2.0,0.0,"396 Alyssa Drives Suite 564
Woodborough, IL 30723"
10000.0, 36 months,6.62,307.04,A,A2,"Charles Skardarasy, M.D",10+ years,OWN,55000.0,Not Verified,Dec-2012,Fully Paid,debt_consolidation,Debt Consolidation,18.55,Jun-1994,13.0,0.0,11752.0,24.7,30.0,f,INDIVIDUAL,1.0,0.0,"9956 Acosta Pine Suite 448
Anthonyport, NE 05113"
1600.0, 36 months,13.99,54.68,C,C4,Production Assistant,1 year,OWN,21600.0,Not Verified,Mar-2015,Fully Paid,medical,Medical expenses,38.39,Oct-1994,8.0,0.0,1225.0,10.9,27.0,f,INDIVIDUAL,0.0,0.0,"075 Harris Cape Suite 405
South Amandastad, WA 00813"
7000.0, 36 months,6.89,215.79,A,A3,Nuclear Scheduler,10+ years,MORTGAGE,130000.0,Source Verified,Oct-2015,Fully Paid,debt_consolidation,Debt consolidation,10.99,Sep-2000,10.0,0.0,17293.0,60.3,26.0,w,INDIVIDUAL,7.0,0.0,"754 James Hollow Suite 255
Lake Rodneyfurt, CO 48052"
30375.0, 36 months,11.44,1000.78,B,B4,Senior Logistics Analyst,1 year,MORTGAGE,188000.0,Verified,Dec-2014,Fully Paid,debt_consolidation,Debt consolidation,21.99,May-2001,13.0,0.0,8049.0,16.9,41.0,f,INDIVIDUAL,1.0,0.0,"766 Gibson Loaf
West Andrea, MD 30723"
30000.0, 60 months,15.61,723.34,D,D1,Programmer Analyst III,6 years,MORTGAGE,70000.0,Verified,Aug-2014,Fully Paid,debt_consolidation,Debt consolidation,14.74,Aug-1996,5.0,0.0,33830.0,85.6,10.0,f,INDIVIDUAL,3.0,0.0,"PSC 2404, Box 2439
APO AE 48052"
15000.0, 36 months,14.59,516.98,D,D1,SJ LEVINSON  and  SONS,< 1 year,RENT,75600.0,Verified,Mar-2010,Charged Off,debt_consolidation,CONSOLIDATE,20.1,Sep-1995,6.0,0.0,3811.0,97.7,20.0,f,INDIVIDUAL,,0.0,"9045 Pittman Falls Apt. 271
Lake Lisa, SD 70466"
5500.0, 36 months,12.85,184.92,B,B4,National Director,2 years,OWN,140000.0,Verified,Jan-2014,Fully Paid,car,Car financing,6.83,Mar-2004,10.0,1.0,7983.0,43.0,31.0,f,INDIVIDUAL,5.0,1.0,"USCGC Johnson
FPO AA 05113"
16000.0, 36 months,13.53,543.2,B,B5,Registered Nurse,10+ years,MORTGAGE,80000.0,Verified,Jan-2014,Fully Paid,credit_card,Credit cards and personal loan,21.06,Aug-1996,8.0,0.0,23208.0,97.1,26.0,f,INDIVIDUAL,6.0,0.0,"USNS Roberts
FPO AA 22690"
5000.0, 36 months,13.05,168.6,B,B5,city of sunrise,4 years,RENT,45000.0,Not Verified,Aug-2013,Fully Paid,debt_consolidation,Debt consolidation,3.25,May-2002,7.0,0.0,4481.0,61.4,8.0,f,INDIVIDUAL,0.0,0.0,"256 Craig Track
Port Ryan, IN 00813"
9000.0, 36 months,12.99,303.21,B,B5,Sales Financial Analyst,3 years,RENT,65000.0,Source Verified,Mar-2014,Fully Paid,debt_consolidation,Debt consolidation,12.98,Sep-2005,10.0,0.0,13328.0,40.1,32.0,f,INDIVIDUAL,0.0,0.0,"23276 Wiley Squares Apt. 661
Lake Christopher, WV 70466"
5600.0, 36 months,12.39,187.05,C,C1,conductor,6 years,OWN,65000.0,Not Verified,Jan-2015,Fully Paid,credit_card,Credit card refinancing,6.76,Aug-1990,9.0,0.0,24948.0,69.3,19.0,w,INDIVIDUAL,1.0,0.0,"87429 Odom Lakes
Melindafort, CO 00813"
5000.0, 36 months,10.99,163.67,B,B2,Special needs program assistant ,3 years,RENT,21000.0,Not Verified,Dec-2013,Fully Paid,credit_card,Credit card loan,26.96,Feb-2007,9.0,0.0,5749.0,70.1,16.0,f,INDIVIDUAL,0.0,0.0,"726 Williams Plain
Deannaberg, NV 70466"
2750.0, 36 months,13.98,93.97,C,C1,Automotive Technician,3 years,RENT,34000.0,Not Verified,Jan-2014,Fully Paid,car,Car financing,28.91,Aug-2009,10.0,0.0,3395.0,61.7,12.0,f,INDIVIDUAL,0.0,0.0,"128 Perez Track
Smithbury, NY 29597"
8000.0, 36 months,10.15,258.71,B,B2,Histologist,10+ years,RENT,53000.0,Not Verified,Jul-2014,Fully Paid,debt_consolidation,Debt consolidation,25.36,Mar-2003,8.0,1.0,6619.0,78.8,16.0,w,INDIVIDUAL,0.0,1.0,"353 Jason Meadow Suite 544
Ruthland, TX 48052"
21000.0, 36 months,18.25,761.84,D,D3,Commercial Lender,5 years,MORTGAGE,105000.0,Not Verified,Apr-2016,Fully Paid,debt_consolidation,Debt consolidation,16.78,Dec-2002,7.0,0.0,45597.0,58.5,28.0,f,INDIVIDUAL,8.0,0.0,"564 Walker Prairie
East Marcstad, KY 30723"
3400.0, 36 months,9.75,109.31,B,B3,Lab Technician,< 1 year,RENT,45000.0,Not Verified,Apr-2016,Fully Paid,credit_card,Credit card refinancing,17.76,Apr-2003,15.0,0.0,4091.0,11.6,23.0,w,INDIVIDUAL,0.0,0.0,"78562 Dustin Fords Suite 037
Port Jamesmouth, NH 29597"
26600.0, 60 months,23.99,765.08,F,F3,Retirement Examiner,10+ years,RENT,64000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,34.43,Sep-2005,16.0,0.0,29506.0,80.2,25.0,w,INDIVIDUAL,0.0,0.0,"759 Amanda Groves Suite 202
Mcgeefurt, MS 11650"
9000.0, 36 months,7.9,281.62,A,A4,cabarrus health alliance,5 years,MORTGAGE,56000.0,Source Verified,Nov-2012,Fully Paid,debt_consolidation,credit card payoff,19.56,Apr-1997,9.0,0.0,38964.0,67.5,17.0,f,INDIVIDUAL,2.0,0.0,"7696 Kevin Lakes
Cunninghamton, DE 48052"
8000.0, 36 months,10.99,261.88,B,B4,material expeditor,3 years,MORTGAGE,40000.0,Not Verified,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,24.87,Apr-2004,9.0,0.0,0.0,0.0,39.0,f,INDIVIDUAL,6.0,0.0,"8853 Schmidt Curve Suite 958
Danielfort, CA 70466"
10000.0, 36 months,11.99,332.1,C,C1,Manager,6 years,MORTGAGE,51000.0,Source Verified,Mar-2016,Fully Paid,credit_card,,18.42,Jul-2011,6.0,0.0,8448.0,66.0,7.0,w,INDIVIDUAL,1.0,0.0,"11887 Eric Parks Suite 756
Sandraburgh, CO 22690"
10000.0, 36 months,5.32,301.15,A,A1,Social Worker,1 year,MORTGAGE,85000.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,23.35,Sep-2007,13.0,0.0,4133.0,23.9,36.0,w,INDIVIDUAL,2.0,0.0,"1977 White Springs
Williamsview, AL 00813"
19525.0, 60 months,10.99,424.43,B,B2,Sr CSR,10+ years,MORTGAGE,44000.0,Source Verified,Oct-2013,Fully Paid,credit_card,CC loan,16.53,Feb-1985,8.0,0.0,24375.0,60.3,18.0,f,INDIVIDUAL,6.0,0.0,"5926 Washington Locks
Brewerfort, SC 70466"
5000.0, 36 months,11.14,164.03,B,B2,Skywest Airlines,6 years,RENT,25000.0,Not Verified,May-2013,Fully Paid,credit_card,Credit card refinancing,12.19,Mar-2006,12.0,0.0,7834.0,24.7,18.0,f,INDIVIDUAL,0.0,0.0,"905 Campbell Shoals Suite 551
Jonesborough, IA 30723"
30000.0, 60 months,24.5,871.77,F,F3,Director Vendor Management Office,5 years,MORTGAGE,160000.0,Verified,Jul-2014,Charged Off,home_improvement,Home improvement,22.25,Aug-1990,26.0,0.0,41557.0,89.8,53.0,f,INDIVIDUAL,6.0,0.0,"8685 Morris Neck
East Matthewbury, OR 30723"
23500.0, 36 months,14.65,810.62,C,C2,University of Southern California,6 years,RENT,40000.0,Verified,Mar-2012,Fully Paid,debt_consolidation,consolidate,20.52,Oct-2003,9.0,0.0,15414.0,55.8,12.0,f,INDIVIDUAL,,0.0,"1948 Connie Locks Apt. 496
Olsenland, ME 22690"
6000.0, 36 months,7.51,186.67,A,A4,IData Incorporated,4 years,MORTGAGE,102996.0,Not Verified,Aug-2010,Fully Paid,major_purchase,Business startup funds,7.4,Nov-1991,4.0,0.0,38475.0,14.5,20.0,f,INDIVIDUAL,,0.0,"PSC 8726, Box 1639
APO AP 30723"
25000.0, 36 months,16.99,891.2,D,D3,AR/AP Billing Specialist,10+ years,OWN,52000.0,Source Verified,Jun-2015,Fully Paid,debt_consolidation,Debt consolidation,14.03,May-2001,6.0,0.0,14477.0,62.1,26.0,f,INDIVIDUAL,1.0,0.0,"0427 Susan Burg Suite 136
South Beth, OH 48052"
30000.0, 36 months,14.64,1034.68,C,C3,Operations Manager,10+ years,MORTGAGE,120000.0,Verified,Apr-2014,Fully Paid,debt_consolidation,Debt consolidation,14.42,May-1983,17.0,0.0,48480.0,80.9,36.0,w,INDIVIDUAL,3.0,0.0,"7804 Susan Tunnel Suite 351
Austinmouth, ID 30723"
12000.0, 60 months,15.61,289.34,C,C5,Associate Pastor,9 years,MORTGAGE,60000.0,Source Verified,Apr-2014,Charged Off,debt_consolidation,Debt consolidation,20.18,Oct-1990,11.0,0.0,6134.0,43.2,29.0,f,INDIVIDUAL,5.0,0.0,"28441 Sheena Knolls Suite 411
Kleinport, ND 70466"
35000.0, 60 months,20.25,619.89,F,F1,NYC Health and Hospital Corporation,2 years,RENT,88000.0,Verified,Jun-2011,Charged Off,debt_consolidation,Debt Consolidation Loan,11.71,Mar-2004,8.0,0.0,11554.0,62.6,16.0,f,INDIVIDUAL,,0.0,"56194 Shane Viaduct
Lawrenceberg, OH 11650"
20000.0, 60 months,13.99,465.27,C,C4,Sales representative,2 years,RENT,65000.0,Source Verified,May-2015,Charged Off,debt_consolidation,Debt consolidation,31.85,Aug-1999,16.0,0.0,28564.0,78.3,28.0,f,INDIVIDUAL,0.0,0.0,"266 Julie Ville Apt. 360
Washingtonbury, VT 11650"
4000.0, 36 months,10.36,129.75,B,B5,Goodwill Gulfstream Industries,< 1 year,RENT,25000.0,Not Verified,Nov-2010,Fully Paid,debt_consolidation,Credit Card Consolidation,19.54,Jun-2004,14.0,0.0,4061.0,48.7,18.0,f,INDIVIDUAL,,0.0,"79178 Rebecca Landing
Lake Brandon, PA 22690"
12000.0, 60 months,18.24,306.3,D,D5,,,OWN,40000.0,Source Verified,Sep-2014,Fully Paid,credit_card,Credit card refinancing,21.65,Jan-2002,8.0,1.0,12657.0,43.1,13.0,f,INDIVIDUAL,2.0,1.0,"64886 Wood Crescent
Lake Jacobtown, ME 29597"
4750.0, 36 months,14.16,162.72,C,C2,Nurse,10+ years,MORTGAGE,55000.0,Not Verified,Mar-2014,Charged Off,home_improvement,Home improvement,6.85,Apr-1987,6.0,0.0,1669.0,6.3,30.0,w,INDIVIDUAL,2.0,0.0,"94797 Moore Summit Apt. 888
East Jenniferbury, MI 86630"
4200.0, 36 months,11.53,138.56,B,B5,assistant store manager,< 1 year,MORTGAGE,31000.0,Not Verified,Jun-2015,Fully Paid,other,Other,15.33,Dec-2004,4.0,0.0,2755.0,86.1,8.0,w,INDIVIDUAL,0.0,0.0,"7340 Peterson Inlet Apt. 048
North Angelaton, OK 00813"
25000.0, 60 months,16.59,615.82,D,D1,General manager ,5 years,RENT,62500.0,Source Verified,Mar-2014,Charged Off,debt_consolidation,Debt consolidation,20.31,Nov-2000,16.0,1.0,17119.0,55.4,37.0,f,INDIVIDUAL,1.0,1.0,"520 Cochran Path
South Nathan, IA 48052"
18000.0, 60 months,18.25,459.54,E,E1,Controller,10+ years,RENT,91000.0,Source Verified,Aug-2015,Charged Off,credit_card,Credit card refinancing,27.45,Aug-2003,13.0,0.0,19521.0,87.9,28.0,w,INDIVIDUAL,0.0,0.0,"244 April Flat Suite 475
Port Frankhaven, ND 30723"
6000.0, 36 months,12.12,199.63,B,B3,Kramer tire /Monro Muffler,6 years,RENT,41000.0,Not Verified,Nov-2012,Fully Paid,debt_consolidation,consolidate,9.16,Nov-2001,11.0,0.0,9610.0,38.7,25.0,f,INDIVIDUAL,3.0,0.0,"49530 Scott Way
Fullerside, AL 29597"
18700.0, 36 months,10.49,607.71,B,B3,DC1,10+ years,RENT,80000.0,Source Verified,Dec-2014,Fully Paid,debt_consolidation,Debt consolidation,15.97,Mar-2004,7.0,0.0,7441.0,57.2,21.0,f,INDIVIDUAL,0.0,0.0,"09732 Anthony Valley Suite 302
North Brittany, NC 29597"
7575.0, 36 months,15.61,264.86,D,D1,Embroidery Manager,10+ years,MORTGAGE,33100.0,Source Verified,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,36.51,Mar-2001,11.0,0.0,17222.0,63.5,14.0,f,INDIVIDUAL,3.0,0.0,"0867 Brown Gateway Suite 864
Port Daniellefort, OK 30723"
14400.0, 36 months,14.46,495.39,C,C4,technology consultant 3,7 years,MORTGAGE,80000.0,Not Verified,Mar-2016,Fully Paid,credit_card,Credit card refinancing,8.48,Nov-1990,9.0,0.0,15042.0,88.0,14.0,w,INDIVIDUAL,2.0,0.0,"857 Douglas Estate Suite 104
New Elizabethport, WA 29597"
6450.0, 36 months,18.25,234.0,D,D3,medical assistant,4 years,RENT,50000.0,Source Verified,Apr-2014,Fully Paid,debt_consolidation,Debt consolidation,10.01,Oct-2006,16.0,0.0,5789.0,28.5,26.0,w,INDIVIDUAL,0.0,0.0,"PSC 6357, Box 0752
APO AA 70466"
13200.0, 36 months,13.05,445.08,B,B5,fkf corp dba floorworks,6 years,RENT,39000.0,Not Verified,Jul-2013,Charged Off,debt_consolidation,credit card pay off,13.78,Sep-2007,6.0,0.0,6844.0,85.5,10.0,f,INDIVIDUAL,0.0,0.0,"5970 Joanne Corners
Port Aaronton, MI 86630"
15875.0, 36 months,14.3,544.89,C,C1,Financial Aid Specialist - Military,7 years,MORTGAGE,71222.0,Source Verified,Oct-2013,Fully Paid,debt_consolidation,Freedom,21.79,Sep-2004,13.0,2.0,7526.0,50.5,63.0,f,INDIVIDUAL,1.0,1.0,"5763 Perkins Viaduct Apt. 966
West Joshuaside, WV 30723"
9750.0, 36 months,7.51,303.34,A,A3,University of Alabama,4 years,MORTGAGE,46000.0,Verified,Jan-2012,Fully Paid,debt_consolidation,ball into one,29.77,Dec-2002,8.0,0.0,9095.0,81.1,21.0,f,INDIVIDUAL,,0.0,"218 Beverly Land
Erikafurt, NY 29597"
